date,year,name_station,value
2021-04-01,2021,São Paulo - Morumbi,22
2021-04-01,2021,Butantã,18
2021-04-01,2021,Pinheiros,46
2021-04-01,2021,Faria Lima,12
2021-04-01,2021,Fradique Coutinho,7
2021-04-01,2021,Oscar Freire,12
2021-04-01,2021,Paulista,42
2021-04-01,2021,Higienópolis - Mackenzie,7
2021-04-01,2021,República,50
2021-04-01,2021,Luz,61
2021-05-01,2021,São Paulo - Morumbi,25
2021-05-01,2021,Butantã,21
2021-05-01,2021,Pinheiros,53
2021-05-01,2021,Faria Lima,15
2021-05-01,2021,Fradique Coutinho,8
2021-05-01,2021,Oscar Freire,14
2021-05-01,2021,Paulista,48
2021-05-01,2021,Higienópolis - Mackenzie,9
2021-05-01,2021,República,57
2021-05-01,2021,Luz,74
2021-06-01,2021,São Paulo - Morumbi,26
2021-06-01,2021,Butantã,22
2021-06-01,2021,Pinheiros,55
2021-06-01,2021,Faria Lima,16
2021-06-01,2021,Fradique Coutinho,9
2021-06-01,2021,Oscar Freire,14
2021-06-01,2021,Paulista,50
2021-06-01,2021,Higienópolis - Mackenzie,9
2021-06-01,2021,República,61
2021-06-01,2021,Luz,76
2021-07-01,2021,São Paulo - Morumbi,27
2021-07-01,2021,Butantã,23
2021-07-01,2021,Pinheiros,55
2021-07-01,2021,Faria Lima,16
2021-07-01,2021,Fradique Coutinho,9
2021-07-01,2021,Oscar Freire,15
2021-07-01,2021,Paulista,53
2021-07-01,2021,Higienópolis - Mackenzie,9
2021-07-01,2021,República,64
2021-07-01,2021,Luz,80
2021-08-01,2021,São Paulo - Morumbi,30
2021-08-01,2021,Butantã,25
2021-08-01,2021,Pinheiros,62
2021-08-01,2021,Faria Lima,18
2021-08-01,2021,Fradique Coutinho,10
2021-08-01,2021,Oscar Freire,16
2021-08-01,2021,Paulista,59
2021-08-01,2021,Higienópolis - Mackenzie,11
2021-08-01,2021,República,69
2021-08-01,2021,Luz,86
2021-09-01,2021,São Paulo - Morumbi,31
2021-09-01,2021,Butantã,27
2021-09-01,2021,Pinheiros,67
2021-09-01,2021,Faria Lima,19
2021-09-01,2021,Fradique Coutinho,11
2021-09-01,2021,Oscar Freire,16
2021-09-01,2021,Paulista,63
2021-09-01,2021,Higienópolis - Mackenzie,12
2021-09-01,2021,República,73
2021-09-01,2021,Luz,92
2021-10-01,2021,São Paulo - Morumbi,33.52
2021-10-01,2021,Butantã,28.33
2021-10-01,2021,Pinheiros,71.08
2021-10-01,2021,Faria Lima,20.61
2021-10-01,2021,Fradique Coutinho,11.44
2021-10-01,2021,Oscar Freire,17.1
2021-10-01,2021,Paulista,66.49
2021-10-01,2021,Higienópolis - Mackenzie,12.93
2021-10-01,2021,República,77.11
2021-10-01,2021,Luz,96.2
2021-11-01,2021,São Paulo - Morumbi,35.99
2021-11-01,2021,Butantã,30.12
2021-11-01,2021,Pinheiros,77.69
2021-11-01,2021,Faria Lima,22.36
2021-11-01,2021,Fradique Coutinho,12.39
2021-11-01,2021,Oscar Freire,18.19
2021-11-01,2021,Paulista,72.33
2021-11-01,2021,Higienópolis - Mackenzie,14.41
2021-11-01,2021,República,83.66
2021-11-01,2021,Luz,102.1
2021-12-01,2021,São Paulo - Morumbi,32.8
2021-12-01,2021,Butantã,27.31
2021-12-01,2021,Pinheiros,70.48
2021-12-01,2021,Faria Lima,19.25
2021-12-01,2021,Fradique Coutinho,10.92
2021-12-01,2021,Oscar Freire,16.28
2021-12-01,2021,Paulista,64.31
2021-12-01,2021,Higienópolis - Mackenzie,11.71
2021-12-01,2021,República,77.03
2021-12-01,2021,Luz,93.54
2022-01-01,2022,São Paulo - Morumbi,28.67
2022-01-01,2022,Butantã,24.31
2022-01-01,2022,Pinheiros,62.94
2022-01-01,2022,Faria Lima,18.26
2022-01-01,2022,Fradique Coutinho,9.88
2022-01-01,2022,Oscar Freire,14.79
2022-01-01,2022,Paulista,57.8
2022-01-01,2022,Higienópolis - Mackenzie,10.6
2022-01-01,2022,República,68.47
2022-01-01,2022,Luz,86.07
2022-02-01,2022,São Paulo - Morumbi,34.83
2022-02-01,2022,Butantã,28.94
2022-02-01,2022,Pinheiros,72.94
2022-02-01,2022,Faria Lima,22.5
2022-02-01,2022,Fradique Coutinho,11.98
2022-02-01,2022,Oscar Freire,17.68
2022-02-01,2022,Paulista,69.89
2022-02-01,2022,Higienópolis - Mackenzie,13.87
2022-02-01,2022,República,79.68
2022-02-01,2022,Luz,98.16
2022-03-01,2022,São Paulo - Morumbi,39.9
2022-03-01,2022,Butantã,35.45
2022-03-01,2022,Pinheiros,82.6
2022-03-01,2022,Faria Lima,25.4
2022-03-01,2022,Fradique Coutinho,13.27
2022-03-01,2022,Oscar Freire,18.9
2022-03-01,2022,Paulista,84.41
2022-03-01,2022,Higienópolis - Mackenzie,19.03
2022-03-01,2022,República,93.18
2022-03-01,2022,Luz,106.27
2022-04-01,2022,São Paulo - Morumbi,41.25
2022-04-01,2022,Butantã,38.81
2022-04-01,2022,Pinheiros,87.17
2022-04-01,2022,Faria Lima,27.56
2022-04-01,2022,Fradique Coutinho,14.06
2022-04-01,2022,Oscar Freire,19.59
2022-04-01,2022,Paulista,89.55
2022-04-01,2022,Higienópolis - Mackenzie,22.21
2022-04-01,2022,República,95.65
2022-04-01,2022,Luz,114.17
2022-05-01,2022,Vila Sônia,16.35
2022-05-01,2022,São Paulo - Morumbi,31.67
2022-05-01,2022,Butantã,38.9
2022-05-01,2022,Pinheiros,88.74
2022-05-01,2022,Faria Lima,28.84
2022-05-01,2022,Fradique Coutinho,14.54
2022-05-01,2022,Oscar Freire,20.12
2022-05-01,2022,Paulista,92.59
2022-05-01,2022,Higienópolis - Mackenzie,23.68
2022-05-01,2022,República,96.73
2022-05-01,2022,Luz,117.02
2022-06-01,2022,Vila Sônia,34.47
2022-06-01,2022,São Paulo - Morumbi,22.3
2022-06-01,2022,Butantã,34.39
2022-06-01,2022,Pinheiros,87.8
2022-06-01,2022,Faria Lima,30.33
2022-06-01,2022,Fradique Coutinho,15.21
2022-06-01,2022,Oscar Freire,20.73
2022-06-01,2022,Paulista,87.61
2022-06-01,2022,Higienópolis - Mackenzie,18.5
2022-06-01,2022,República,94.34
2022-06-01,2022,Luz,113.85
2022-07-01,2022,Vila Sônia,33.9
2022-07-01,2022,São Paulo - Morumbi,21.1
2022-07-01,2022,Butantã,31.48
2022-07-01,2022,Pinheiros,88.44
2022-07-01,2022,Faria Lima,30.3
2022-07-01,2022,Fradique Coutinho,15.28
2022-07-01,2022,Oscar Freire,20.68
2022-07-01,2022,Paulista,83.57
2022-07-01,2022,Higienópolis - Mackenzie,15.28
2022-07-01,2022,República,93.31
2022-07-01,2022,Luz,115.08
2022-08-01,2022,Vila Sônia,37.49
2022-08-01,2022,São Paulo - Morumbi,22.6
2022-08-01,2022,Butantã,34.8
2022-08-01,2022,Pinheiros,93.98
2022-08-01,2022,Faria Lima,32.48
2022-08-01,2022,Fradique Coutinho,16.09
2022-08-01,2022,Oscar Freire,21.81
2022-08-01,2022,Paulista,95.27
2022-08-01,2022,Higienópolis - Mackenzie,25.05
2022-08-01,2022,República,98.97
2022-08-01,2022,Luz,121.01
2022-09-01,2022,Vila Sônia,38.75
2022-09-01,2022,São Paulo - Morumbi,22.29
2022-09-01,2022,Butantã,36.29
2022-09-01,2022,Pinheiros,97.37
2022-09-01,2022,Faria Lima,32.59
2022-09-01,2022,Fradique Coutinho,16.34
2022-09-01,2022,Oscar Freire,21.51
2022-09-01,2022,Paulista,99.42
2022-09-01,2022,Higienópolis - Mackenzie,25.73
2022-09-01,2022,República,102.74
2022-09-01,2022,Luz,126.39
2022-10-01,2022,Vila Sônia,39.62
2022-10-01,2022,São Paulo - Morumbi,22.26
2022-10-01,2022,Butantã,37.06
2022-10-01,2022,Pinheiros,99.58
2022-10-01,2022,Faria Lima,32.94
2022-10-01,2022,Fradique Coutinho,16.61
2022-10-01,2022,Oscar Freire,22.12
2022-10-01,2022,Paulista,100.28
2022-10-01,2022,Higienópolis - Mackenzie,24.11
2022-10-01,2022,República,104.29
2022-10-01,2022,Luz,127.55
2022-11-01,2022,Vila Sônia,38.95
2022-11-01,2022,São Paulo - Morumbi,21.69
2022-11-01,2022,Butantã,35.77
2022-11-01,2022,Pinheiros,98.3
2022-11-01,2022,Faria Lima,32.24
2022-11-01,2022,Fradique Coutinho,16.61
2022-11-01,2022,Oscar Freire,22.13
2022-11-01,2022,Paulista,96.55
2022-11-01,2022,Higienópolis - Mackenzie,23.68
2022-11-01,2022,República,102.12
2022-11-01,2022,Luz,125.18
2022-12-01,2022,Vila Sônia,35.77
2022-12-01,2022,São Paulo - Morumbi,19.28
2022-12-01,2022,Butantã,29.87
2022-12-01,2022,Pinheiros,88.83
2022-12-01,2022,Faria Lima,29.14
2022-12-01,2022,Fradique Coutinho,14.85
2022-12-01,2022,Oscar Freire,20.4
2022-12-01,2022,Paulista,83.74
2022-12-01,2022,Higienópolis - Mackenzie,15.96
2022-12-01,2022,República,92.74
2022-12-01,2022,Luz,114.43
2023-01-01,2023,Vila Sônia,34.54
2023-01-01,2023,São Paulo - Morumbi,18.26
2023-01-01,2023,Butantã,27.17
2023-01-01,2023,Pinheiros,87.15
2023-01-01,2023,Faria Lima,28.65
2023-01-01,2023,Fradique Coutinho,14.56
2023-01-01,2023,Oscar Freire,19.87
2023-01-01,2023,Paulista,82.55
2023-01-01,2023,Higienópolis - Mackenzie,14.58
2023-01-01,2023,República,90.08
2023-01-01,2023,Luz,113.58
2023-02-01,2023,Vila Sônia,38.15
2023-02-01,2023,São Paulo - Morumbi,20.17
2023-02-01,2023,Butantã,29.85
2023-02-01,2023,Pinheiros,91.47
2023-02-01,2023,Faria Lima,30.31
2023-02-01,2023,Fradique Coutinho,16.09
2023-02-01,2023,Oscar Freire,20.93
2023-02-01,2023,Paulista,92.87
2023-02-01,2023,Higienópolis - Mackenzie,23.5
2023-02-01,2023,República,96.67
2023-02-01,2023,Luz,120.29
2023-03-01,2023,Vila Sônia,42.21
2023-03-01,2023,São Paulo - Morumbi,24.15
2023-03-01,2023,Butantã,36.43
2023-03-01,2023,Pinheiros,103.42
2023-03-01,2023,Faria Lima,33.71
2023-03-01,2023,Fradique Coutinho,17.08
2023-03-01,2023,Oscar Freire,23.5
2023-03-01,2023,Paulista,101.89
2023-03-01,2023,Higienópolis - Mackenzie,27.51
2023-03-01,2023,República,102.68
2023-03-01,2023,Luz,136.49
2023-04-01,2023,Vila Sônia,43.98
2023-04-01,2023,São Paulo - Morumbi,23.37
2023-04-01,2023,Butantã,38.63
2023-04-01,2023,Pinheiros,104.83
2023-04-01,2023,Faria Lima,34.54
2023-04-01,2023,Fradique Coutinho,17.18
2023-04-01,2023,Oscar Freire,24.02
2023-04-01,2023,Paulista,105.55
2023-04-01,2023,Higienópolis - Mackenzie,27.48
2023-04-01,2023,República,106.2
2023-04-01,2023,Luz,135.69
2023-05-01,2023,Vila Sônia,44.66
2023-05-01,2023,São Paulo - Morumbi,22.78
2023-05-01,2023,Butantã,39.36
2023-05-01,2023,Pinheiros,104.2
2023-05-01,2023,Faria Lima,34.71
2023-05-01,2023,Fradique Coutinho,17.15
2023-05-01,2023,Oscar Freire,24.12
2023-05-01,2023,Paulista,105.66
2023-05-01,2023,Higienópolis - Mackenzie,27.29
2023-05-01,2023,República,106.03
2023-05-01,2023,Luz,135.5
2023-06-01,2023,Vila Sônia,42.08
2023-06-01,2023,São Paulo - Morumbi,22.95
2023-06-01,2023,Butantã,36.16
2023-06-01,2023,Pinheiros,98.73
2023-06-01,2023,Faria Lima,33
2023-06-01,2023,Fradique Coutinho,16.52
2023-06-01,2023,Oscar Freire,22.85
2023-06-01,2023,Paulista,97.71
2023-06-01,2023,Higienópolis - Mackenzie,20.46
2023-06-01,2023,República,99.57
2023-06-01,2023,Luz,129.78
2023-07-01,2023,Vila Sônia,41.17
2023-07-01,2023,São Paulo - Morumbi,21.02
2023-07-01,2023,Butantã,31.96
2023-07-01,2023,Pinheiros,98
2023-07-01,2023,Faria Lima,32.73
2023-07-01,2023,Fradique Coutinho,16.2
2023-07-01,2023,Oscar Freire,22.6
2023-07-01,2023,Paulista,94.21
2023-07-01,2023,Higienópolis - Mackenzie,16.96
2023-07-01,2023,República,96.94
2023-07-01,2023,Luz,128.62
2023-08-01,2023,Vila Sônia,45.94
2023-08-01,2023,São Paulo - Morumbi,24.88
2023-08-01,2023,Butantã,38.19
2023-08-01,2023,Pinheiros,106.04
2023-08-01,2023,Faria Lima,36
2023-08-01,2023,Fradique Coutinho,17.6
2023-08-01,2023,Oscar Freire,24.55
2023-08-01,2023,Paulista,107.69
